"ground.id","ground.name"
3553,"Amstelveen"
5811,"Deventer"
3175,"Perth"
5603,"Sydney"
3952,"Melbourne"
2632,"Nykobing Mors"
5440,"Leicester"
9547,"Nottingham"
5797,"Haarlem"
9146,"Warrington"
7680,"Stoke-on-Trent"
3116,"Beaconsfield"
5836,"Lindfield"
4271,"Crowthorne"
3737,"Marlow"
2181,"London"
2462,"Potchefstroom (Uni)"
6594,"Potchefstroom"
5995,"Coffs Harbour"
2858,"Surat"
3188,"Chelmsford"
9949,"Canterbury"
6563,"Worcester"
2202,"Timaru"
1011,"Lincoln"
6256,"Shenley"
2853,"Derby"
7481,"Northampton"
3689,"Lord's"
8178,"Leeds"
3960,"Reading"
1728,"Chennai"
1541,"Hyderabad (Deccan)"
9746,"Lucknow"
7666,"Mumbai"
4162,"Pune"
9292,"St Saviour"
6499,"Durham"
5613,"Chester-le-Street"
2884,"Brisbane"
3001,"Port Elizabeth"
4479,"East London"
9086,"Johannesburg"
1317,"Manchester"
7060,"Scarborough"
8726,"Klerksdorp"
9075,"Pretoria"
4195,"Hove"
6046,"Cheltenham"
1029,"Kidderminster"
7865,"Stratford-upon-Avon"
1845,"Taunton"
9579,"Colombo (Colts)"
5195,"Delhi"
8066,"Faridabad"
2925,"Guwahati"
3481,"Silchar"
5330,"Kolkata"
5137,"Bristol"
8683,"Southampton"
5452,"Wormsley"
2201,"Wellington"
4223,"Hamilton"
2886,"Auckland"
7190,"Invercargill"
2307,"Loughborough"
9383,"Truro"
8519,"Arundel"
8296,"Galle"
9939,"Colombo (RPS)"
4721,"Mumbai (BS)"
2358,"Cuttack"
2375,"Louth"
2774,"Hobart"
9633,"Christchurch"
3943,"Jamshedpur"
3865,"Patna"
4559,"Centurion"
6597,"Cape Town"
5478,"Paarl"
7368,"Dublin"
4821,"Vapi"
3657,"Bengaluru"
4891,"Dhanbad"
5926,"Gurgaon"
7472,"Colombo (SSC)"
1047,"Mysore"
5640,"Karachi"
9264,"Adelaide"
1677,"Jaipur"
2963,"Canberra"
7657,"Bowral"
7026,"Visakhapatnam"
6622,"North Sound"
9898,"Roseau"
8814,"Basseterre"
3901,"Ahmedabad"
5548,"Guangzhou"
8744,"Sylhet"
5848,"Amsterdam"
1955,"The Hague"
9716,"Geelong"
9176,"Mount Maunganui"
5749,"Vadodara"
5527,"Kuala Lumpur"
9324,"Providence"
7515,"Coolidge"
8077,"Bridgetown"
4365,"Florence Hall"
8762,"Kingston"
2681,"Nagpur"
