"innings.id","team.id","team.id.opp","ground.id","type","date"
79650,654,231,9264,"ODI","24/02/2019"
37696,230,231,9264,"ODI","28/02/2006"
21153,230,231,9264,"Test","2006-02-18"
87746,231,654,9264,"ODI","03/02/1996"
44726,175,231,9264,"Test","1984-12-21"
13304,231,654,9264,"ODI","10/02/2010"
12356,654,231,9264,"ODI","01/02/1996"
98029,231,654,9264,"ODI","01/02/1996"
52647,231,654,9264,"T20","2017-02-22"
79236,654,231,9264,"ODI","04/02/1996"
40346,231,175,9264,"Test","1984-12-21"
90900,654,231,9264,"ODI","21/02/2002"
94622,654,231,9264,"Test","1979-01-19"
38002,654,231,9264,"Test","1957-01-18"
27315,231,175,9264,"Test","1968-12-27"
79847,231,175,9264,"Test","1949-01-15"
10495,231,654,9264,"ODI","11/02/2010"
20633,231,230,9264,"ODI","26/02/2006"
32227,230,231,9264,"Test","1991-02-02"
71388,175,231,9264,"T20","2011-01-12"
38335,231,654,9264,"Test","1957-01-18"
17000,654,231,9264,"T20","2017-02-22"
54480,230,231,9264,"ODI","25/02/2006"
33662,231,654,9264,"ODI","04/02/1996"
31054,231,654,9264,"ODI","24/02/2019"
69303,175,231,9264,"Test","1958-03-08"
71189,231,654,9264,"ODI","21/02/2002"
55739,231,230,9264,"Test","2006-02-18"
87293,231,175,9264,"Test","1958-03-08"
50562,175,231,9264,"Test","1949-01-15"
91829,511,231,9264,"T20","2014-11-05"
16591,231,654,9264,"ODI","20/02/2002"
24048,654,231,9264,"ODI","11/02/2010"
70945,231,230,9264,"T20","2016-01-26"
22228,654,231,9264,"ODI","03/02/1996"
41305,175,231,9264,"Test","1968-12-27"
95426,654,231,9264,"ODI","10/02/2010"
18474,231,230,9264,"Test","1991-02-02"
37750,231,511,9264,"T20","2014-11-05"
98427,654,231,9264,"ODI","20/02/2002"
86192,230,231,9264,"ODI","26/02/2006"
13084,231,654,9264,"Test","1979-01-19"
95093,231,175,9264,"T20","2011-01-12"
32248,230,231,9264,"T20","2016-01-26"
69685,231,230,9264,"ODI","25/02/2006"
26144,231,230,9264,"ODI","28/02/2006"
18513,231,230,3901,"Test","1984-02-03"
54148,487,230,3901,"ODI","10/04/2013"
77776,230,511,3901,"T20","2011-01-23"
86613,230,487,3901,"ODI","12/04/2013"
86834,511,230,3901,"T20","2011-01-22"
13295,230,511,3901,"T20","2011-01-22"
