"Date","Information.Media.Telecoms","Healthcare.SocialAssistance","Arts.Recreation.Other","Accommodation.Food","Total.All.Industries"
"1989Q1",595.9,405.94,390.97,231.93,450.67
"1989Q2",595.66,396.73,392.86,225.82,447.68
"1989Q3",598.39,399.96,390.39,220.7,448.62
"1989Q4",609.26,404.49,395.27,220.57,458.66
"1990Q1",629.8,412.28,409.13,232.32,471.75
"1990Q2",629.83,418.04,406.44,230.25,473.15
"1990Q3",639.05,416.46,401.95,231.99,473.02
"1990Q4",645.31,421.88,407.86,231.63,479.09
"1991Q1",650.47,435.49,413.52,246.86,486.27
"1991Q2",653.67,421.13,413.26,235.39,482.75
"1991Q3",655.1,428.38,413.68,235.93,481.75
"1991Q4",663.36,422.33,416.99,239.98,487.09
"1992Q1",668.02,438.39,421.02,249.05,495.93
"1992Q2",672.07,430.26,424.39,241.7,493.19
"1992Q3",665.27,429.97,423.88,238.23,486.55
"1992Q4",667.83,428.74,426.03,243.32,492.86
"1993Q1",671.27,428.84,425.56,250.62,497.11
"1993Q2",666.12,425.91,427.26,246.48,492.31
"1993Q3",660.29,418.64,422.82,240.96,485.85
"1993Q4",673.97,416.03,426.65,249.36,492.62
"1994Q1",673.44,429.97,425.29,254.79,499.63
"1994Q2",687.86,416.83,432.61,249.97,501.38
"1994Q3",676.11,410.14,429.68,249.23,496.88
"1994Q4",685.09,434.14,434.4,250.25,504.84
"1995Q1",686.75,446.45,430.86,260.23,512.77
"1995Q2",692.68,435.94,437.83,253.69,511.35
"1995Q3",682.52,440.61,434.22,251.67,507.49
"1995Q4",692.96,442.41,438.08,255.99,515.57
"1996Q1",694.25,452.45,432.86,269.19,525.6
"1996Q2",699.89,446.17,434.65,253.06,523.17
"1996Q3",697.65,450.4,435.72,248.7,521.78
"1996Q4",722.6,456.32,448.46,269.09,532.12
"1997Q1",726.24,469.14,449.88,276.89,543.92
"1997Q2",733.72,464.43,451.72,259.5,539.66
"1997Q3",724.13,478.94,445.06,259.44,535.17
"1997Q4",735.7,468.64,446.24,267.81,540.84
"1998Q1",729.48,468.16,445.38,285.2,549.79
"1998Q2",736.01,461.32,453.74,261.86,545.62
"1998Q3",734.27,466.04,445.55,262.3,545.1
"1998Q4",740.3,472.84,448.11,270.84,550.38
"1999Q1",755.38,467.54,464.14,271.75,557.55
"1999Q2",751.58,479.19,452.57,264.01,554.42
"1999Q3",754.62,471.83,455.84,269.24,555.86
"1999Q4",765.56,474.93,467.84,273.58,559.81
"2000Q1",766.98,467.76,468.77,285.44,565.57
"2000Q2",755.95,462.87,465.84,278.75,561.97
"2000Q3",776.76,465.28,472.52,274.38,565.1
"2000Q4",780.58,462.42,479.18,292.88,572.59
"2001Q1",790.69,469.49,482.78,298.55,578.22
"2001Q2",803.03,488.22,484.97,294.23,586.96
"2001Q3",797.05,507.23,475.93,296.29,589.48
"2001Q4",796.79,500.59,480.31,311.45,594.02
"2002Q1",821.71,508.95,500.31,313,610.78
"2002Q2",822.13,503.29,505.31,296.71,603.28
"2002Q3",858.64,513.81,529.69,311.02,615.45
"2002Q4",858.44,522.75,538.44,313.78,620.28
"2003Q1",856.32,521.97,541.39,327.04,631.97
