"ref","company","company_location","review_date","country_of_bean_origin","cocoa_percent","rating","counts_of_ingredients","beans","cocoa_butter","vanilla","lecithin","salt","sugar","sweetener_without_sugar","first_taste","second_taste","third_taste"
2454,"5150","U.S.A.",2019,"Madagascar",76,3.75,3,"Yes","Yes","No","No","No","Yes","No","cocoa","blackberry","full body"
2458,"5150","U.S.A.",2019,"Dominican Republic",76,3.5,3,"Yes","Yes","No","No","No","Yes","No","cocoa","vegetal","savory"
2454,"5150","U.S.A.",2019,"Tanzania",76,3.25,3,"Yes","Yes","No","No","No","Yes","No","rich cocoa","fatty","bready"
797,"A. Morin","France",2012,"Peru",63,3.75,4,"Yes","Yes","No","Yes","No","Yes","No","fruity","melon","roasty"
797,"A. Morin","France",2012,"Bolivia",70,3.5,4,"Yes","Yes","No","Yes","No","Yes","No","vegetal","nutty",""
1015,"A. Morin","France",2013,"Venezuela",70,4,4,"Yes","Yes","No","Yes","No","Yes","No","oily","nut","caramel"
1019,"A. Morin","France",2013,"Peru",63,4,3,"Yes","Yes","No","No","No","Yes","No","sweet","cocoa","tangerine"
1011,"A. Morin","France",2013,"Ecuador",70,3.75,4,"Yes","Yes","No","Yes","No","Yes","No","sandy","nutty","cocoa"
1019,"A. Morin","France",2013,"Peru",70,3.5,4,"Yes","Yes","No","Yes","No","Yes","No","cocoa","sour","intense tangerine"
1011,"A. Morin","France",2013,"Brazil",70,3.25,4,"Yes","Yes","No","Yes","No","Yes","No","mild tobacco","",""
1015,"A. Morin","France",2013,"Papua New Guinea",70,3.25,4,"Yes","Yes","No","Yes","No","Yes","No","mild fruit","strong smoke",""
1019,"A. Morin","France",2013,"Peru",70,3.25,4,"Yes","Yes","No","Yes","No","Yes","No","green","nutty","cocoa"
1011,"A. Morin","France",2013,"Madagascar",70,3,4,"Yes","Yes","No","Yes","No","Yes","No","sticky","red fruit","sour"
1015,"A. Morin","France",2013,"Burma",70,3,4,"Yes","Yes","No","Yes","No","Yes","No","sticky","smokey","grass"
1011,"A. Morin","France",2013,"Panama",70,2.75,4,"Yes","Yes","No","Yes","No","Yes","No","brief fruit note","earthy","nutty"
1015,"A. Morin","France",2013,"Colombia",70,2.75,4,"Yes","Yes","No","Yes","No","Yes","No","burnt rubber","alkalyzed notes",""
1319,"A. Morin","France",2014,"Peru",70,4,4,"Yes","Yes","No","Yes","No","Yes","No","delicate","hazelnut","brownie"
1319,"A. Morin","France",2014,"Venezuela",70,3.75,4,"Yes","Yes","No","Yes","No","Yes","No","astringent","nutty","chocolatey"
1315,"A. Morin","France",2014,"Cuba",70,3.5,4,"Yes","Yes","No","Yes","No","Yes","No","sliglty dry","papaya",""
1315,"A. Morin","France",2014,"Venezuela",70,3.5,4,"Yes","Yes","No","Yes","No","Yes","No","nutty","mild choco","roasty"
1315,"A. Morin","France",2014,"Venezuela",70,2.75,4,"Yes","Yes","No","Yes","No","Yes","No","harsh","leather","earthy"
1680,"A. Morin","France",2015,"Togo",70,3.5,4,"Yes","Yes","No","Yes","No","Yes","No","mild profile","chocolaty","spice"
1704,"A. Morin","France",2015,"Peru",70,3.5,4,"Yes","Yes","No","Yes","No","Yes","No","grainy texture","cocoa","sweet"
1676,"A. Morin","France",2015,"Togo",70,3,4,"Yes","Yes","No","Yes","No","Yes","No","roasty","acidic","nutty"
1676,"A. Morin","France",2015,"Togo",70,2.75,4,"Yes","Yes","No","Yes","No","Yes","No","burnt wood","earthy","choco"
1876,"A. Morin","France",2016,"Sao Tome",63,3.75,4,"Yes","Yes","No","Yes","No","Yes","No","sweet","chocolatey","vegetal"
2206,"A. Morin","France",2018,"Peru",63,3.75,4,"Yes","Yes","No","Yes","No","Yes","No","sweet","dairy","spice"
2206,"A. Morin","France",2018,"Venezuela",70,3.5,4,"Yes","Yes","No","Yes","No","Yes","No","alluring aroma","powdery","nutty"
1462,"Acalli","U.S.A.",2015,"Peru",70,3.75,2,"Yes","No","No","No","No","Yes","No","yellow fruit","",""
1470,"Acalli","U.S.A.",2015,"Peru",70,3.75,2,"Yes","No","No","No","No","Yes","No","intense","nutty","cherry"
2470,"Acalli","U.S.A.",2020,"Peru",70,3.5,2,"Yes","No","No","No","No","Yes","No","hot cocoa","rich","molasses"
2462,"Acalli","U.S.A.",2020,"Mexico",74,3.25,2,"Yes","No","No","No","No","Yes","No","herbal","molasses","hammy"
705,"Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji",88,3.5,3,"Yes","Yes","No","No","No","Yes","No","orange","floral","lemon"
705,"Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji",72,3.5,3,"Yes","Yes","No","No","No","Yes","No","cocoa and powerful tang","",""
705,"Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji",80,3.25,3,"Yes","Yes","No","No","No","Yes","No","spicy and candy-like","",""
705,"Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji",60,2.75,3,"Yes","Yes","No","No","No","Yes","No","sweet","sublte strawberry",""
2438,"Aelan","Vanuatu",2019,"Vanuatu",70,3,2,"Yes","No","No","No","No","Yes","No","sandy","woody","spicy"
2438,"Aelan","Vanuatu",2019,"Vanuatu",70,2.75,2,"Yes","No","No","No","No","Yes","No","basic","sweet","cocoa"
2442,"Aelan","Vanuatu",2019,"Vanuatu",70,2.75,2,"Yes","No","No","No","No","Yes","No","sweet","cocoa","rubbery"
2438,"Aelan","Vanuatu",2019,"Vanuatu",70,2.5,2,"Yes","No","No","No","No","Yes","No","unrefined","sweet","metallic"
370,"Aequare (Gianduja)","Ecuador",2009,"Ecuador",70,3,4,"Yes","Yes","Yes","No","No","Yes","No","roasty","nutty","coffee"
370,"Aequare (Gianduja)","Ecuador",2009,"Ecuador",55,2.75,4,"Yes","Yes","Yes","No","No","Yes","No","sandy","sweet","banana cream"
316,"Ah Cacao","Mexico",2009,"Mexico",70,3,3,"Yes","Yes","No","No","No","Yes","No","gritty","spice","cocoa"
502,"Akesson's (Pralus)","Switzerland",2010,"Madagascar",75,2.75,4,"Yes","Yes","No","Yes","No","Yes","No","strong pepper","musty",""
508,"Akesson's (Pralus)","Switzerland",2010,"Brazil",75,2.75,4,"Yes","Yes","No","Yes","No","Yes","No","fatty","intense","woody"
636,"Akesson's (Pralus)","Switzerland",2011,"Indonesia",75,3.75,4,"Yes","Yes","No","Yes","No","Yes","No","hay","nut","berry"
1061,"Alain Ducasse","France",2013,"Venezuela",75,2.5,5,"Yes","Yes","Yes","Yes","No","Yes","No","sandy","dirt","ashey"
1173,"Alain Ducasse","France",2013,"Peru",75,2.5,5,"Yes","Yes","Yes","Yes","No","Yes","No","cardboard","dirt","roasty"
1215,"Alain Ducasse","France",2014,"Madagascar",75,3,5,"Yes","Yes","Yes","No","Yes","Yes","No","citrus","fatty","dairy"
1215,"Alain Ducasse","France",2014,"Trinidad",65,2.75,6,"Yes","Yes","Yes","Yes","Yes","Yes","No","roasty","sweet","savory"
1215,"Alain Ducasse","France",2014,"Vietnam",75,2.75,5,"Yes","Yes","Yes","No","Yes","Yes","No","nutty","roasty","odd dairy"
1992,"Alain Ducasse","France",2017,"Mexico",75,3.5,6,"Yes","Yes","Yes","Yes","Yes","Yes","No","strawberry","cream","gateway"
1944,"Alexandre","Netherlands",2017,"Ecuador",70,3.5,3,"Yes","Yes","No","No","No","Yes","No","sandy","green","floral"
1944,"Alexandre","Netherlands",2017,"Nicaragua",70,3.5,3,"Yes","Yes","No","No","No","Yes","No","sandy","sweet","nibby"
1944,"Alexandre","Netherlands",2017,"Tanzania",70,3.5,3,"Yes","Yes","No","No","No","Yes","No","sandy","melon","banana"
1944,"Alexandre","Netherlands",2017,"Vietnam",70,3.5,3,"Yes","Yes","No","No","No","Yes","No","sandy","sweet","roasty"
1129,"Altus aka Cao Artisan","U.S.A.",2013,"Bolivia",80,3.25,4,"Yes","Yes","No","Yes","No","Yes","No","gritty","berry","mild bitter"
1133,"Altus aka Cao Artisan","U.S.A.",2013,"Peru",60,3.25,4,"Yes","Yes","No","Yes","No","Yes","No","gritty","too sweet","fruit"
1125,"Altus aka Cao Artisan","U.S.A.",2013,"Dominican Republic",60,3,4,"Yes","Yes","No","Yes","No","Yes","No","sandy","sweet","dairy"
1133,"Altus aka Cao Artisan","U.S.A.",2013,"Bolivia",60,3,4,"Yes","Yes","No","Yes","No","Yes","No","grit","sweet","caramel"
1125,"Altus aka Cao Artisan","U.S.A.",2013,"Venezuela",60,2.5,4,"Yes","Yes","No","Yes","No","Yes","No","sweet","moldy","off"
1728,"Altus aka Cao Artisan","U.S.A.",2016,"Peru",60,3,3,"Yes","Yes","No","No","No","Yes","No","dry","sweet","caramel"
1728,"Altus aka Cao Artisan","U.S.A.",2016,"Nicaragua",60,2.75,3,"Yes","Yes","No","No","No","Yes","No","powdery","sweet","molasses"
1732,"Altus aka Cao Artisan","U.S.A.",2016,"Ecuador",60,2.75,3,"Yes","Yes","No","No","No","Yes","No","sandy","nutty","earthy"
1732,"Altus aka Cao Artisan","U.S.A.",2016,"Bolivia",60,2.5,3,"Yes","Yes","No","No","No","Yes","No","sandy","sweet","pungent"
1732,"Altus aka Cao Artisan","U.S.A.",2016,"Peru",60,2.5,3,"Yes","Yes","No","No","No","Yes","No","sandy","sweet","sour"
2044,"Altus aka Cao Artisan","U.S.A.",2018,"Dominican Republic",70,3,3,"Yes","Yes","No","No","No","Yes","No","sweet","coarse","nutty"
175,"Amano","U.S.A.",2007,"Venezuela",70,3.75,4,"Yes","Yes","Yes","No","No","Yes","No","spicy","strawberry",""
