"objectid","basic_colour","body_type","cc_rating","chassis7","first_nz_registration_year","first_nz_registration_month","gross_vehicle_mass","height","import_status","make","model","motive_power","number_of_axles","number_of_seats","nz_assembled","original_country","power_rating","previous_country","road_transport_code","submodel","TLA","transmission_type","vdam_weight","vehicle_type","vehicle_usage","vehicle_year"
6001,"white","station wagon",2199,"",2011,9,2510,0,"new","Kia","Sorento","diesel",0,7,"imported built-up","South Korea",145,"None","","2.2 diesel auto ex","Dunedin City","6-gear auto",0,"passenger car/van","private passenger",2011
6002,"silver","station wagon",2354,"",2012,1,2270,0,"new","Honda","Odyssey","petrol",2,7,"imported built-up","Japan",133,"None","","s","Hauraki District","5-gear auto",0,"passenger car/van","private passenger",2012
6003,"grey","hatchback",2261,"",2009,4,2165,0,"new","Ford","Mondeo","petrol",2,5,"imported built-up","Belgium",118,"None","","mondeo zetec 2.3 aut","Kapiti Coast District","6-gear auto",0,"passenger car/van","private passenger",2009
6004,"blue","hatchback",1798,"",2008,10,1805,0,"new","Toyota","Corolla","petrol",2,5,"imported built-up","Japan",100,"None","","1.8p gx hatch 5 4a","Christchurch City","4-gear auto",0,"passenger car/van","private passenger",2008
6005,"blue","saloon",2990,"mcv30-6",2012,4,1795,0,"used","Toyota","Windom","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Lower Hutt City","",0,"passenger car/van","private passenger",2005
6006,"silver","boat trailer",0,"tw008",2012,3,2000,0,"new","Trailer","Trailerworx Boat","",2,0,"nz assembled/built","New Zealand",0,"None","","","Auckland","",0,"trailer/caravan","other goods",2012
6007,"silver","station wagon",1990,"azt250-",2011,4,1685,0,"used","Toyota","Avensis","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Christchurch City","",0,"passenger car/van","private passenger",2003
6008,"black","station wagon",1496,"ncp21-0",2010,3,1325,0,"used","Toyota","Funcargo","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2001
6009,"white","utility",3199,"",2012,4,3200,0,"new","Ford","Ranger","diesel",2,5,"imported built-up","Thailand",147,"None","","3.2td xlt dc w/sa4x4","Tasman District","6-gear auto",0,"goods van/truck/utility","other goods",2012
6010,"white","light van",2351,"",2011,6,2505,0,"new","Mitsubishi","L300","petrol",0,3,"imported built-up","Japan",99,"None","","2.4p lwb 5 door","Christchurch City","5-gear manual",0,"goods van/truck/utility","private passenger",2011
6011,"blue","hatchback",1998,"",2011,12,1758,0,"new","Mazda","Mazda3","petrol",2,5,"imported built-up","Japan",113,"None","","hatch gse 2.0 6a sky","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
6012,"silver","hatchback",1499,"",2012,8,1490,0,"new","Mitsubishi","Colt","petrol",0,5,"imported built-up","Japan",78,"None","","1.5p ls 5dr","Hamilton City","continuously variable",0,"passenger car/van","private passenger",2012
6013,"white","saloon",1460,"cs2a-07",2010,9,1405,0,"used","Mitsubishi","Lancer","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2005
6014,"blue","saloon",1598,"",2012,8,1698,0,"new","Holden","Barina","petrol",2,5,"imported built-up","South Korea",85,"None","","1.6 sedan at","Whangarei District","6-gear auto",0,"passenger car/van","private passenger",2012
6015,"gold","saloon",1496,"ncp12-0",2012,7,1215,0,"used","Toyota","Platz","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Whanganui District","",0,"passenger car/van","private passenger",2000
6016,"silver","station wagon",2359,"",2011,8,2050,0,"new","Kia","Sportage","petrol",0,5,"imported built-up","South Korea",130,"None","","2.4 petrol auto","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
6017,"red","hatchback",1598,"",2010,9,1550,0,"new","Holden","Barina","petrol",2,5,"imported built-up","South Korea",77,"None","","5dr hatch manual","Central Otago District","5-gear manual",0,"passenger car/van","private passenger",2010
6018,"gold","station wagon",2362,"acr30-0",2011,9,2070,0,"used","Toyota","Estima","petrol",2,8,"imported built-up","Japan",0,"Japan","","l x","Auckland","",0,"passenger car/van","private passenger",2001
6019,"white","utility",2499,"",2011,10,2870,0,"new","Ford","Ranger","diesel",2,3,"imported built-up","Thailand",105,"None","","2.5td s/c w/s 4x2","Christchurch City","5-gear manual",0,"goods van/truck/utility","private passenger",2011
6020,"blue","saloon",1797,"",2011,9,1740,0,"new","Hyundai","Lantra","petrol",2,5,"imported built-up","South Korea",110,"None","","1.8 elite","Invercargill City","6-gear auto",0,"passenger car/van","private passenger",2011
6021,"blue","saloon",1797,"",2011,7,1740,0,"new","Hyundai","Lantra","petrol",2,5,"imported built-up","South Korea",110,"None","","1.8 elite","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
6022,"blue","hatchback",1496,"nze151-",2012,9,1515,0,"used","Toyota","Auris","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Christchurch City","",0,"passenger car/van","private passenger",2007
6023,"silver","station wagon",2970,"",2011,10,2375,0,"used","Bmw","X5","petrol",2,5,"imported built-up","United Kingdom",0,"Japan","","","Christchurch City","",0,"passenger car/van","private passenger",2003
6024,"red","saloon",1980,"wvwzzz9",2008,7,1575,0,"used","Volkswagen","Beetle","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2001
6025,"gold","saloon",2850,"82369jh",1972,8,0,0,"new","Holden","Torana","petrol",0,5,"unknown","Not Known",0,"None","","","Waikato District","",0,"passenger car/van","private passenger",1972
6026,"green","saloon",1275,"aa4d236",1972,5,0,0,"new","Austin","1300gt","petrol",0,5,"unknown","Not Known",0,"None","","","Thames-coromandel District","",0,"passenger car/van","private passenger",1972
6027,"black","utility",3196,"",2012,2,3200,0,"new","Mazda","Bt-50","diesel",2,5,"imported built-up","Thailand",147,"None","","2wd gsx d/c w/s 6at","Auckland","6-gear auto",0,"goods van/truck/utility","private passenger",2012
6028,"blue","saloon",1998,"azt240-",2012,9,1515,0,"used","Toyota","Allion","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2006
6029,"silver","station wagon",2199,"",2011,8,2620,0,"new","Hyundai","Santa Fe","diesel",2,5,"imported built-up","South Korea",145,"None","","2.2r crdi a6 5s suv","Palmerston North City","6-gear auto",0,"passenger car/van","private passenger",2011
6030,"silver","hatchback",1499,"",2011,3,1490,0,"new","Mitsubishi","Colt","petrol",0,5,"imported built-up","Japan",78,"None","","1.5p ls 5dr hatch a","Christchurch City","continuously variable",0,"passenger car/van","private passenger",2011
6031,"black","station wagon",2405,"",2010,9,2291,0,"new","Holden","Captiva","petrol",2,5,"imported built-up","South Korea",103,"None","","5 2.4l awd at","Lower Hutt City","5-gear auto",0,"passenger car/van","private passenger",2010
6032,"white","utility",2953,"",2011,8,3032,0,"new","Ford","Ranger","diesel",2,4,"imported built-up","Thailand",115,"None","","3.0td suprc w/s 4x4","Invercargill City","5-gear manual",0,"goods van/truck/utility","private passenger",2011
6033,"silver","station wagon",1794,"zne10-0",2012,9,1685,0,"used","Toyota","Wish","petrol",0,7,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2004
6034,"silver","domestic trailer",0,"1152798",2012,6,750,0,"new","Briford","7x4","",2,0,"nz assembled/built","New Zealand",0,"None","","","Central Otago District","",0,"trailer/caravan","other goods",2012
6035,"red","hatchback",1372,"",2011,7,0,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",70,"None","","ltda 1.4 5dr","Napier City","5-gear manual",0,"passenger car/van","private passenger",2011
6036,"blue","saloon",1797,"",2011,8,1740,0,"new","Hyundai","Lantra","petrol",2,5,"imported built-up","South Korea",110,"None","","1.8 elite","Far North District","6-gear auto",0,"passenger car/van","private passenger",2011
