YearQuarter,Adelaide,Apia,Beijing,Bangkok,Brisbane,Bandar Seri Begawan,Guangzhou,Cairns,Denpasar,Dubai,Buenos Aires,Hong Kong,Honolulu,Osaka,Kuala Lumpur,Los Angeles,London,Melbourne,Nadi,Nagoya,Noumea,Tokyo,Coolangatta,Perth,Papeete,Rarotonga,Santiago,Seoul,San Francisco,Shanghai,Singapore,Sydney,Tonga,Taipei,Port Vila,Vancouver,TOTAL ALL OVERSEAS PORTS
1997Q4,0,114,0,58,599,0,0,43,44,0,35,111,149,86,47,430,75,494,329,41,40,76,26,30,57,42,0,190,0,0,219,1220,72,97,16,41,4254
1998Q1,0,120,0,38,560,0,0,42,39,0,39,113,151,89,38,422,73,518,310,40,41,69,23,33,66,39,5,120,43,0,208,1214,70,113,13,24,4229
1998Q2,0,106,0,41,593,0,0,41,38,0,32,130,96,99,43,432,78,490,265,27,41,98,17,26,52,40,0,75,55,0,183,1257,68,78,26,25,4165
1998Q3,0,108,0,41,696,0,0,53,39,0,29,132,122,98,53,406,79,576,254,26,45,85,24,26,55,40,8,81,0,0,188,1407,72,78,27,46,4543
1998Q4,1,118,0,42,647,0,0,45,39,0,38,131,105,83,56,405,86,626,254,54,43,97,16,31,62,56,2,79,0,0,231,1483,98,66,27,27,4735
1999Q1,1,121,0,39,624,0,0,38,38,0,52,135,106,80,51,400,81,628,260,58,45,93,14,37,61,69,0,88,0,0,248,1465,100,88,27,48,4787
1999Q2,0,91,0,39,593,0,0,38,39,0,36,111,97,91,68,419,91,680,327,53,43,104,19,26,55,56,0,55,0,0,248,1370,97,39,19,0,4554
1999Q3,13,101,3,42,653,0,1,20,41,0,49,132,92,97,67,421,93,691,345,50,47,105,26,27,56,55,0,55,0,4,256,1501,93,40,27,1,4871
1999Q4,5,129,0,59,690,0,0,16,39,0,54,139,76,114,69,427,103,728,350,52,44,104,19,34,62,65,0,58,1,0,270,1576,107,45,25,7,5117
2000Q1,0,135,0,65,737,0,0,13,39,0,63,145,68,121,65,411,95,781,344,52,53,94,26,38,68,77,0,58,0,0,276,1624,116,63,25,12,5324
2000Q2,0,122,0,67,755,0,0,13,38,0,52,133,98,103,72,418,91,762,297,35,56,103,38,40,91,97,0,65,0,0,255,1592,108,79,26,4,5128
2000Q3,0,122,24,66,818,0,0,13,39,0,55,136,102,109,93,426,88,818,216,29,55,106,46,42,81,91,0,78,0,24,264,1657,117,77,28,0,5311
2000Q4,0,140,22,75,766,0,0,15,39,0,53,152,133,133,95,449,91,908,287,41,61,106,37,40,89,99,0,87,0,22,249,1704,125,85,29,9,5654
