"passenger","pclass","survived","name","age","embarked","home.dest","room","ticket","boat","sex"
   1,"1st","Yes","Allen, Miss Elisabeth Walton                                  ","29    ","Southampton","St Louis, MO                                      ","B-5         ","24160 L221          ","2    ","female"
   2,"1st","No ","Allison, Miss Helen Loraine                                   ","2     ","Southampton","Montreal, PQ / Chesterville, ON                   ","C26         ","                    ","     ","female"
   3,"1st","No ","Allison, Mr Hudson Joshua Creighton                           ","30    ","Southampton","Montreal, PQ / Chesterville, ON                   ","C26         ","                    ","-135 ","male  "
   4,"1st","No ","Allison, Mrs Hudson J.C. (Bessie Waldo Daniels)               ","25    ","Southampton","Montreal, PQ / Chesterville, ON                   ","C26         ","                    ","     ","female"
   5,"1st","Yes","Allison, Master Hudson Trevor                                 ","0.9167","Southampton","Montreal, PQ / Chesterville, ON                   ","C22         ","                    ","11   ","male  "
   6,"1st","Yes","Anderson, Mr Harry                                            ","47    ","Southampton","New York, NY                                      ","E-12        ","                    ","3    ","male  "
   7,"1st","Yes","Andrews, Miss Kornelia Theodosia                              ","63    ","Southampton","Hudson, NY                                        ","D-7         ","13502 L77           ","10   ","female"
   8,"1st","No ","Andrews, Mr Thomas, jr                                        ","39    ","Southampton","Belfast, NI                                       ","A-36        ","                    ","     ","male  "
   9,"1st","Yes","Appleton, Mrs Edward Dale (Charlotte Lamson)                  ","58    ","Southampton","Bayside, Queens, NY                               ","C-101       ","                    ","2    ","female"
  10,"1st","No ","Artagaveytia, Mr Ramon                                        ","71    ","Cherbourg  ","Montevideo, Uruguay                               ","            ","                    ","-22  ","male  "
  11,"1st","No ","Astor, Colonel John Jacob                                     ","47    ","Cherbourg  ","New York, NY                                      ","            ","17754 L224 10s 6d   ","-124 ","male  "
  12,"1st","Yes","Astor, Mrs John Jacob (Madeleine Talmadge Force)              ","19    ","Cherbourg  ","New York, NY                                      ","            ","17754 L224 10s 6d   ","4    ","female"
  13,"1st","Yes","Aubert, Mrs Leontine Pauline                                  ",".     ","Cherbourg  ","Paris, France                                     ","B-35        ","17477 L69 6s        ","9    ","female"
  14,"1st","Yes","Barkworth, Mr Algernon H.                                     ",".     ","Southampton","Hessle, Yorks                                     ","A-23        ","                    ","B    ","male  "
  15,"1st","No ","Baumann, Mr John D.                                           ",".     ","Southampton","New York, NY                                      ","            ","                    ","     ","male  "
  16,"1st","Yes","Baxter, Mrs James (Helene DeLaudeniere Chaput)                ","50    ","Cherbourg  ","Montreal, PQ                                      ","B-58/60     ","                    ","6    ","female"
  17,"1st","No ","Baxter, Mr Quigg Edmond                                       ","24    ","Cherbourg  ","Montreal, PQ                                      ","B-58/60     ","                    ","     ","male  "
  18,"1st","No ","Beattie, Mr Thomson                                           ","36    ","Cherbourg  ","Winnipeg, MN                                      ","C-6         ","                    ","     ","male  "
  19,"1st","Yes","Beckwith, Mr Richard Leonard                                  ","37    ","Southampton","New York, NY                                      ","D-35        ","                    ","5    ","male  "
  20,"1st","Yes","Beckwith, Mrs Richard Leonard (Sallie Monypeny)               ","47    ","Southampton","New York, NY                                      ","D-35        ","                    ","5    ","female"
  21,"1st","Yes","Behr, Mr Karl Howell                                          ","26    ","Cherbourg  ","New York, NY                                      ","C-148       ","                    ","5    ","male  "
  22,"1st","No ","Birnbaum, Mr Jakob                                            ","25    ","Cherbourg  ","San Francisco, CA                                 ","            ","                    ","-148 ","male  "
  23,"1st","Yes","Bishop, Mr Dickinson H.                                       ","25    ","Cherbourg  ","Dowagiac, MI                                      ","B-49        ","                    ","7    ","male  "
  24,"1st","Yes","Bishop, Mrs Dickinson H. (Helen Walton)                       ","19    ","Cherbourg  ","Dowagiac, MI                                      ","B-49        ","                    ","7    ","female"
  25,"1st","Yes","Bjornstrm-Steffansson, Mr Mauritz Hakan                       ","28    ","Southampton","Stockholm, Sweden / Washington, DC                ","            ","                    ","D    ","male  "
  26,"1st","No ","Blackwell, Mr Stephen Weart                                   ","45    ","Southampton","Trenton, NJ                                       ","            ","                    ","-241 ","male  "
